Date,AAPL,JPM,AMZN,GOOGL,NSRGY,^GSPC
2022/9/27,149.767334,98.38146973,114.4100037,97.03607178,100.4888229,3647.290039
2022/9/28,147.8725433,100.3704605,118.0100021,99.57395172,102.5361481,3719.040039
2022/9/29,140.6091766,98.66959381,114.8000031,96.95645142,102.6399307,3640.469971
2022/9/30,136.3853455,97.12671661,113,95.19487762,101.5266418,3585.620117
2022/10/3,140.5795593,100.1288147,115.8799973,98.1706543,101.4228592,3678.429932
2022/10/4,144.1816559,104.8132019,121.0899963,101.1563721,103.4701843,3790.929932
2022/10/5,144.4777069,103.519104,120.9499969,100.9473724,102.7342834,3783.280029
2022/10/6,143.5204468,101.4091263,120.3000031,100.9374161,100.7718582,3744.52002
2022/10/7,138.2505493,99.38360596,114.5599976,98.21046448,100.1491776,3639.659912
2022/10/10,138.5761871,98.45519257,113.6699982,97.3943634,99.81896973,3612.389893
2022/10/11,137.1551361,95.61379242,112.2099991,96.71759796,99.4415741,3588.840088
2022/10/12,136.5235138,97.16109467,112.9000015,97.09578705,100.20578,3577.030029
2022/10/13,141.1124878,102.5625763,112.5299988,98.58865356,99.4415741,3669.909912
2022/10/14,136.5630035,104.2693024,106.9000015,96.10054016,98.42263031,3583.070068
2022/10/17,140.5401001,108.6486206,113.7900009,99.49432373,101.2435989,3677.949951
2022/10/18,141.8625031,111.4431534,116.3600006,100.2905197,102.4135056,3719.97998
2022/10/19,141.9710693,109.2581787,115.0699997,99.15593719,100.0831375,3695.159912
2022/10/20,141.5072174,108.901825,115.25,99.49432373,99.25287628,3665.780029
2022/10/21,145.3363037,114.6221542,119.3199997,100.6488037,99.85669708,3752.75
2022/10/24,147.4876556,114.7628021,119.8199997,102.0321884,101.0737762,3797.340088
2022/10/25,150.3397217,115.0628967,120.5999985,103.9828644,102.5738907,3859.110107
2022/10/26,147.3889771,116.3851395,115.6600037,94.478302,103.3097916,3830.600098
2022/10/27,142.8987274,116.844635,110.9599991,91.78119659,100.6586533,3807.300049
2022/10/28,153.6950836,118.2325211,103.4100037,95.83183289,102.5455856,3901.060059
2022/10/31,151.3265686,118.0449677,102.4400024,94.06030273,102.5644531,3871.97998
2022/11/1,148.6719055,120.1736679,96.79000092,90.03952789,102.3380203,3856.100098
2022/11/2,143.1256866,119.0671234,92.12000275,86.55617523,101.9606323,3759.689941
2022/11/3,137.0564728,119.2828064,89.30000305,83.03302765,100.5265656,3719.889893
2022/11/4,136.7895355,122.5462036,90.98000336,86.16804504,102.8946609,3770.550049
2022/11/7,137.323349,123.1932678,90.52999878,88.06894684,102.5644531,3806.800049
2022/11/8,137.896698,123.2682648,89.98000336,88.47699738,102.9701462,3828.110107
2022/11/9,133.3198853,121.6647339,86.13999939,86.90451813,103.7909622,3748.570068
2022/11/10,145.1819611,126.6723557,96.62999725,93.4930191,107.2723618,3956.370117
2022/11/11,147.9794312,126.8786392,100.7900009,95.95126343,108.310173,3992.929932
2022/11/14,146.5757446,125.5751724,98.48999786,95.24463654,107.82901,3957.25
2022/11/15,148.3155365,124.6655273,98.94000244,97.97161102,107.2723618,3991.72998
2022/11/16,147.0799103,124.834343,97.12000275,98.37965393,108.0271378,3958.790039
2022/11/17,148.9877319,124.2904358,94.84999847,97.89198303,108.8102188,3946.560059
2022/11/18,149.551178,125.5095139,94.13999939,96.96640778,109.6593399,3965.340088
2022/11/21,146.3088837,124.7686844,92.45999908,95.14511871,110.7914963,3949.939941
2022/11/22,148.4539337,126.6348343,93.19999695,96.58821869,111.3953171,4003.580078
2022/11/23,149.3337097,127.985199,94.12999725,97.99150848,112.536911,4027.26001
2022/11/25,146.4077301,128.2290344,93.41000366,96.9962616,112.5274734,4026.120117
2022/11/28,142.562439,125.9878006,93.94999695,95.59297943,112.6501312,3963.939941
2022/11/29,139.5474701,128.0602264,92.41999817,94.73706818,110.5084534,3957.629883
2022/11/30,146.3286438,129.5793762,96.54000092,100.5094757,112.2633057,4080.110107
2022/12/1,146.605423,127.7601318,95.5,100.5094757,113.8011627,4076.570068
2022/12/2,146.1111755,126.7473679,94.12999725,99.96208191,113.5181198,4071.699951
2022/12/5,144.9447174,123.1932678,91.01000214,99.0066452,110.8292389,3998.840088
2022/12/6,141.2674866,123.399559,88.25,96.51855469,110.8481064,3941.26001
2022/12/7,139.3201141,123.3151779,88.45999908,94.48826599,109.6310272,3933.919922
2022/12/8,141.0104675,124.6092834,90.34999847,93.26409912,110.2725906,3963.51001
2022/12/9,140.5261078,123.9340973,89.08999634,92.38830566,109.9895477,3934.379883
2022/12/12,142.8293457,125.8564987,90.55000305,92.86600494,110.4235458,3990.560059
2022/12/13,143.7980804,125.734581,92.48999786,95.17497253,110.8292389,4019.649902
2022/12/14,141.5640564,125.1062851,91.58000183,94.61763763,113.3860397,3995.320068
2022/12/15,134.9311523,122.0023041,88.44999695,90.42766571,109.3762894,3895.75
2022/12/16,132.9640503,121.2427139,87.86000061,89.83052826,108.310173,3852.360107
2022/12/19,130.8486176,121.9647827,84.91999817,88.01918793,109.1876068,3817.659912
2022/12/20,130.7794037,122.5555801,85.19000244,88.59642029,108.6969986,3821.620117
2022/12/21,133.8932037,123.9340973,86.76999664,89.15376282,109.9989853,3878.439941
2022/12/22,130.7102051,122.5274658,83.79000092,87.34241486,109.5838623,3822.389893
2022/12/23,130.3444824,123.1088715,85.25,88.80542755,109.102684,3844.820068
2022/12/27,128.5355225,123.5402451,83.04000092,86.97418213,109.442337,3829.25
2022/12/28,124.5913849,124.2154388,81.81999969,85.61070251,109.1781693,3783.219971
2022/12/29,128.1203766,124.9281235,84.18000031,88.02913666,110.3386307,3849.280029
2022/12/30,128.436676,125.753334,84,87.81018829,108.8196411,3839.5
